user_id,niche,posts,followers
user_101,Fashion,18,3200
user_102,Travel,25,4800
user_103,Fitness,32,7100
user_104,Food,40,9500
user_105,Tech,48,12400
user_106,Lifestyle,55,14800
user_107,Art,62,17200
user_108,Fashion,70,20500
user_109,Fitness,78,23100
user_110,Travel,85,25800
user_111,Food,92,28400
user_112,Tech,100,31200
user_113,Lifestyle,108,33900
user_114,Art,115,36400
user_115,Fashion,122,39100
user_116,Fitness,130,41800
user_117,Travel,138,44200
user_118,Food,145,46300
user_119,Tech,152,48500
user_120,Lifestyle,160,50800
user_121,Art,168,52900
user_122,Fashion,175,54800
user_123,Fitness,182,56700
user_124,Travel,190,58600
user_125,Food,198,60400
user_126,Tech,205,61900
user_127,Lifestyle,212,63400
user_128,Art,220,64900
user_129,Fashion,228,66200
user_130,Fitness,235,67400
user_131,Travel,242,68600
user_132,Food,250,69800
user_133,Tech,258,70900
user_134,Lifestyle,265,71900
user_135,Art,272,72800
user_136,Fashion,280,73700
user_137,Fitness,288,74500
user_138,Travel,295,75200
user_139,Food,302,75900
user_140,Tech,310,76600
user_141,Lifestyle,318,77200
user_142,Art,325,77700
user_143,Fashion,332,78200
user_144,Fitness,340,78600
user_145,Travel,348,79000
user_146,Food,355,79300
user_147,Tech,362,79600
user_148,Lifestyle,370,79800
user_149,Art,378,80000
user_150,Fashion,385,80100
user_151,Fitness,392,80200
user_152,Travel,400,80300
user_153,Food,408,80300
user_154,Tech,415,80200
user_155,Lifestyle,422,80100
user_156,Art,430,79900
user_157,Fashion,438,79700
user_158,Fitness,445,79400
user_159,Travel,452,79000
user_160,Food,460,78600
user_161,Fashion,22,4100
user_162,Tech,35,7900
user_163,Fitness,50,13100
user_164,Art,68,19800
user_165,Food,82,25100
user_166,Travel,95,29600
user_167,Lifestyle,112,35200
user_168,Fashion,128,41100
user_169,Fitness,142,45600
user_170,Tech,158,50200
user_171,Food,172,54100
user_172,Travel,188,58100
user_173,Art,202,61300
user_174,Lifestyle,218,64500
user_175,Fashion,232,66900
user_176,Fitness,248,69400
user_177,Tech,262,71500
user_178,Food,278,73400
user_179,Travel,292,74900
user_180,Art,308,76400
user_181,Lifestyle,322,77500
user_182,Fashion,338,78500
user_183,Fitness,352,79200
user_184,Tech,368,79700
user_185,Food,382,80100
user_186,Travel,398,80300
user_187,Art,412,80200
user_188,Lifestyle,428,80000
user_189,Fashion,442,79500
user_190,Fitness,458,78800
user_191,Fashion,42,10200
user_192,Tech,75,22300
user_193,Travel,105,32800
user_194,Food,135,43200
user_195,Fitness,165,52100
user_196,Art,195,59800
user_197,Lifestyle,225,65800
user_198,Fashion,255,70400
user_199,Tech,285,74100
user_200,Travel,315,77000
